ID,Age,Education,Relationship Status,Income,Days as Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Spent,Spent_Weighted,Children,Family_Size,Is_Parent
5524,57,Graduation,Alone,58138.0,663,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1617,6115,0,1,0
2174,60,Graduation,Alone,46344.0,113,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,27,110,2,3,1
4141,49,Graduation,Not Alone,71613.0,312,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,776,2700,0,2,0
6182,30,Graduation,Not Alone,26646.0,139,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,53,213,1,3,1
5324,33,PhD,Not Alone,58293.0,161,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,422,1480,1,3,1
7446,47,Master,Not Alone,62513.0,293,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,716,2260,1,3,1
965,43,Graduation,Alone,55635.0,593,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,590,2050,1,2,1
6177,29,PhD,Not Alone,33454.0,417,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,169,670,1,3,1
4855,40,PhD,Not Alone,30351.0,388,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,46,192,1,3,1
5899,64,PhD,Not Alone,5648.0,108,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,49,198,2,4,1
387,38,Basic,Not Alone,7500.0,593,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,61,231,0,2,0
2125,55,Graduation,Alone,63033.0,226,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,1102,4347,0,1,0
8180,62,Master,Alone,59354.0,226,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,310,1072,2,3,1
2569,27,Graduation,Not Alone,17323.0,627,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,46,164,0,2,0
2114,68,PhD,Alone,82800.0,582,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1315,4257,0,1,0
9736,34,Graduation,Not Alone,41850.0,552,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,96,317,2,4,1
4939,68,Graduation,Not Alone,37760.0,667,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,317,1239,0,2,0
6565,65,Master,Not Alone,76995.0,458,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,1782,6694,1,3,1
2278,29,2n Cycle,Alone,33812.0,603,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,133,526,1,2,1
9360,32,Graduation,Not Alone,37040.0,690,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,316,1265,0,2,0
5376,35,Graduation,Not Alone,2447.0,539,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,1730,8641,1,3,1
