race_name,year,Total_Entries,Race_Complexity_Score,Safety_Index,Accident,Collision,Mechanical or Physical Fault,Disqualification,Behind on Laps,Damage Related,Finish
Abu Dhabi Grand Prix,2014,20.0,0.06999999999999999,0.93,0.0,0.0,3.0,0.0,5.0,0.0,12.0
Australian Grand Prix,2014,22.0,0.1318181818181818,0.8681818181818182,0.0,2.0,5.0,1.0,4.0,0.0,10.0
Austrian Grand Prix,2014,22.0,0.07727272727272727,0.9227272727272727,0.0,0.0,3.0,0.0,8.0,0.0,11.0
Bahrain Grand Prix,2014,22.0,0.09545454545454546,0.9045454545454545,0.0,2.0,4.0,0.0,1.0,0.0,15.0
Belgian Grand Prix,2014,22.0,0.07727272727272727,0.9227272727272727,0.0,0.0,5.0,0.0,2.0,0.0,15.0
Brazilian Grand Prix,2014,18.0,0.061111111111111116,0.9388888888888889,0.0,0.0,1.0,0.0,8.0,0.0,9.0
British Grand Prix,2014,22.0,0.11818181818181821,0.8818181818181818,0.0,3.0,2.0,0.0,8.0,0.0,9.0
Canadian Grand Prix,2014,22.0,0.17272727272727273,0.8272727272727273,0.0,4.0,7.0,0.0,1.0,0.0,10.0
Chinese Grand Prix,2014,22.0,0.07727272727272728,0.9227272727272727,0.0,0.0,2.0,0.0,11.0,0.0,9.0
German Grand Prix,2014,22.0,0.10454545454545454,0.8954545454545455,0.0,1.0,3.0,0.0,10.0,0.0,8.0
Hungarian Grand Prix,2014,22.0,0.11363636363636363,0.8863636363636364,4.0,0.0,2.0,0.0,3.0,0.0,13.0
Italian Grand Prix,2014,22.0,0.06363636363636363,0.9363636363636364,1.0,0.0,1.0,0.0,7.0,0.0,13.0
Japanese Grand Prix,2014,22.0,0.09545454545454546,0.9045454545454545,2.0,0.0,1.0,0.0,10.0,0.0,9.0
Malaysian Grand Prix,2014,22.0,0.1272727272727273,0.8727272727272727,0.0,0.0,7.0,0.0,7.0,0.0,8.0
Monaco Grand Prix,2014,22.0,0.16818181818181818,0.8318181818181818,2.0,1.0,5.0,0.0,10.0,0.0,4.0
Russian Grand Prix,2014,21.0,0.05714285714285715,0.9428571428571428,0.0,0.0,2.0,0.0,6.0,0.0,13.0
Singapore Grand Prix,2014,22.0,0.07272727272727274,0.9272727272727272,0.0,0.0,5.0,0.0,1.0,0.0,16.0
Spanish Grand Prix,2014,22.0,0.09090909090909091,0.9090909090909091,0.0,0.0,2.0,0.0,14.0,0.0,6.0
United States Grand Prix,2014,18.0,0.08888888888888889,0.9111111111111111,0.0,2.0,1.0,0.0,5.0,0.0,10.0
Abu Dhabi Grand Prix,2015,20.0,0.06000000000000001,0.94,0.0,1.0,0.0,0.0,8.0,0.0,11.0
Australian Grand Prix,2015,18.0,0.15555555555555556,0.8444444444444444,1.0,0.0,6.0,0.0,6.0,0.0,5.0
Austrian Grand Prix,2015,20.0,0.13999999999999999,0.86,0.0,2.0,4.0,0.0,8.0,0.0,6.0
Bahrain Grand Prix,2015,20.0,0.095,0.905,0.0,0.0,3.0,0.0,10.0,0.0,7.0
Belgian Grand Prix,2015,20.0,0.10999999999999999,0.89,0.0,0.0,6.0,0.0,4.0,0.0,10.0
Brazilian Grand Prix,2015,19.0,0.08947368421052633,0.9105263157894736,0.0,0.0,1.0,0.0,14.0,0.0,4.0
British Grand Prix,2015,20.0,0.155,0.845,1.0,3.0,3.0,0.0,6.0,0.0,7.0
Canadian Grand Prix,2015,20.0,0.095,0.905,0.0,0.0,3.0,0.0,10.0,0.0,7.0
Chinese Grand Prix,2015,20.0,0.095,0.905,0.0,0.0,4.0,0.0,7.0,0.0,9.0
Hungarian Grand Prix,2015,20.0,0.06999999999999999,0.93,0.0,0.0,4.0,0.0,2.0,0.0,14.0
Italian Grand Prix,2015,20.0,0.1,0.9,0.0,2.0,0.0,0.0,12.0,0.0,6.0
Japanese Grand Prix,2015,20.0,0.065,0.935,0.0,0.0,1.0,0.0,10.0,0.0,9.0
Malaysian Grand Prix,2015,20.0,0.12000000000000002,0.88,1.0,0.0,4.0,0.0,8.0,0.0,7.0
Mexican Grand Prix,2015,20.0,0.07999999999999999,0.92,1.0,1.0,2.0,0.0,2.0,0.0,14.0
Monaco Grand Prix,2015,20.0,0.065,0.935,1.0,0.0,2.0,0.0,3.0,0.0,14.0
Russian Grand Prix,2015,20.0,0.135,0.865,1.0,3.0,3.0,0.0,2.0,0.0,11.0
Singapore Grand Prix,2015,20.0,0.10500000000000001,0.895,0.0,1.0,5.0,0.0,2.0,0.0,12.0
Spanish Grand Prix,2015,20.0,0.095,0.905,1.0,0.0,1.0,0.0,12.0,0.0,6.0
United States Grand Prix,2015,20.0,0.12999999999999998,0.87,2.0,0.0,6.0,0.0,0.0,0.0,12.0
Abu Dhabi Grand Prix,2016,22.0,0.09545454545454546,0.9045454545454545,0.0,1.0,4.0,0.0,5.0,0.0,12.0
Australian Grand Prix,2016,22.0,0.10454545454545454,0.8954545454545455,0.0,2.0,4.0,0.0,3.0,0.0,13.0
Austrian Grand Prix,2016,22.0,0.11818181818181817,0.8818181818181818,0.0,0.0,6.0,0.0,8.0,0.0,8.0
Bahrain Grand Prix,2016,22.0,0.11818181818181818,0.8818181818181818,0.0,0.0,5.0,0.0,11.0,0.0,6.0
Belgian Grand Prix,2016,22.0,0.09090909090909093,0.9090909090909091,1.0,2.0,2.0,0.0,2.0,0.0,15.0
Brazilian Grand Prix,2016,22.0,0.1,0.9,0.0,4.0,2.0,0.0,0.0,0.0,16.0
British Grand Prix,2016,22.0,0.11818181818181818,0.8818181818181818,2.0,0.0,4.0,0.0,6.0,0.0,10.0
Canadian Grand Prix,2016,22.0,0.09545454545454546,0.9045454545454545,0.0,0.0,3.0,0.0,12.0,0.0,7.0
Chinese Grand Prix,2016,22.0,0.04090909090909091,0.9590909090909091,0.0,0.0,0.0,0.0,9.0,0.0,13.0
European Grand Prix,2016,22.0,0.08636363636363636,0.9136363636363636,0.0,0.0,4.0,0.0,7.0,0.0,11.0
German Grand Prix,2016,22.0,0.08636363636363636,0.9136363636363636,0.0,0.0,2.0,0.0,13.0,0.0,7.0
Hungarian Grand Prix,2016,22.0,0.08181818181818182,0.9181818181818182,0.0,0.0,1.0,0.0,15.0,0.0,6.0
Italian Grand Prix,2016,22.0,0.1,0.9,0.0,2.0,2.0,0.0,8.0,0.0,10.0
Japanese Grand Prix,2016,22.0,0.05,0.95,0.0,0.0,0.0,0.0,11.0,0.0,11.0
Malaysian Grand Prix,2016,22.0,0.10909090909090909,0.8909090909090909,0.0,1.0,5.0,0.0,5.0,0.0,11.0
Mexican Grand Prix,2016,22.0,0.06818181818181818,0.9318181818181819,0.0,1.0,0.0,0.0,11.0,0.0,10.0
Monaco Grand Prix,2016,22.0,0.15454545454545457,0.8454545454545455,4.0,1.0,2.0,0.0,8.0,0.0,7.0
Russian Grand Prix,2016,22.0,0.1272727272727273,0.8727272727272727,0.0,3.0,1.0,0.0,13.0,0.0,5.0
Singapore Grand Prix,2016,22.0,0.09545454545454544,0.9045454545454545,0.0,1.0,3.0,0.0,8.0,0.0,10.0
Spanish Grand Prix,2016,22.0,0.11818181818181818,0.8818181818181818,0.0,2.0,3.0,0.0,9.0,0.0,8.0
United States Grand Prix,2016,22.0,0.11363636363636363,0.8863636363636364,0.0,1.0,3.0,0.0,12.0,0.0,6.0
Abu Dhabi Grand Prix,2017,20.0,0.08,0.92,0.0,0.0,2.0,0.0,10.0,0.0,8.0
Australian Grand Prix,2017,20.0,0.14,0.86,0.0,0.0,7.0,0.0,7.0,0.0,6.0
Austrian Grand Prix,2017,20.0,0.12,0.88,0.0,2.0,2.0,0.0,10.0,0.0,6.0
Azerbaijan Grand Prix,2017,20.0,0.11499999999999999,0.885,1.0,0.0,6.0,0.0,1.0,0.0,12.0
Bahrain Grand Prix,2017,20.0,0.12999999999999998,0.87,0.0,2.0,5.0,0.0,3.0,0.0,10.0
Belgian Grand Prix,2017,20.0,0.06499999999999999,0.935,0.0,1.0,3.0,0.0,0.0,0.0,16.0
Brazilian Grand Prix,2017,20.0,0.11000000000000001,0.89,3.0,0.0,1.0,0.0,7.0,0.0,9.0
British Grand Prix,2017,20.0,0.1,0.9,0.0,1.0,2.0,0.0,10.0,0.0,7.0
Canadian Grand Prix,2017,20.0,0.12,0.88,0.0,2.0,3.0,0.0,7.0,0.0,8.0
Chinese Grand Prix,2017,20.0,0.125,0.875,1.0,1.0,3.0,0.0,8.0,0.0,7.0
Hungarian Grand Prix,2017,20.0,0.11499999999999999,0.885,0.0,1.0,3.0,0.0,10.0,0.0,6.0
Italian Grand Prix,2017,20.0,0.095,0.905,0.0,0.0,4.0,0.0,7.0,0.0,9.0
Japanese Grand Prix,2017,20.0,0.11499999999999999,0.885,2.0,0.0,3.0,0.0,6.0,0.0,9.0
Malaysian Grand Prix,2017,20.0,0.09000000000000001,0.91,0.0,0.0,2.0,0.0,12.0,0.0,6.0
Mexican Grand Prix,2017,20.0,0.13,0.87,0.0,0.0,5.0,0.0,11.0,0.0,4.0
