Model,CV Accuracy,Best Params,Top Feature,Test Accuracy,Runtime (s),,Model,CV Accuracy,Best Params,Top Feature,Test Accuracy,Runtime (s)
Logistic Regression,0.846890547,"OrderedDict({'logisticregression__C': 0.28881766539144715, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'saga'})",num__Pace_Qual,0.856,8.971723318,,Logistic Regression,0.847,"{'logisticregression__C': 0.289, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'saga'}",num__Pace_Qual,0.856,8.972
Decision Tree,0.84026534,"OrderedDict({'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20})",num__Pace_Qual,0.824,12.1763947,,Decision Tree,0.84,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20}",num__Pace_Qual,0.824,12.176
Gradient Boosting,0.838557214,"OrderedDict({'learning_rate': 0.035224024625934616, 'max_depth': 2, 'n_estimators': 87, 'subsample': 0.5068655485075998})",num__Pace_Qual,0.864,15.9685638,,Gradient Boosting,0.839,"{'learning_rate': 0.035, 'max_depth': 2, 'n_estimators': 87, 'subsample': 0.507}",num__Pace_Qual,0.864,15.969
Random Forest,0.835240464,"OrderedDict({'bootstrap': False, 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 89})",num__Pace_Qual,0.856,14.00550556,,Random Forest,0.835,"{'bootstrap': False, 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 89}",num__Pace_Qual,0.856,14.006
XGBoost,0.830240464,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.002837982366692323, 'max_depth': 2, 'n_estimators': 1000, 'reg_alpha': 0.8230516453056523, 'reg_lambda': 0.001, 'subsample': 0.6793970507461566})",num__Pace_Qual,0.84,21.43724966,,XGBoost,0.83,"{'colsample_bytree': 1.000, 'learning_rate': 0.003, 'max_depth': 2, 'n_estimators': 1000, 'reg_alpha': 0.823, 'reg_lambda': 0.001, 'subsample': 0.679}",num__Pace_Qual,0.84,21.437
SVM,0.825223881,"OrderedDict({'svc__C': 32.27919000580687, 'svc__kernel': 'linear'})",num__QualifyingPosition,0.808,8.432384729,,SVM,0.825,"{'svc__C': 32.279, 'svc__kernel': 'linear'}",num__QualifyingPosition,0.808,8.432
LightGBM,0.820281924,"OrderedDict({'learning_rate': 0.010372351675034247, 'max_depth': 36, 'n_estimators': 1133, 'num_leaves': 91, 'subsample': 0.8350739741344673})",num__Pace_Qual,0.792,60.02510095,,LightGBM,0.82,"{'learning_rate': 0.010, 'max_depth': 36, 'n_estimators': 1133, 'num_leaves': 91, 'subsample': 0.835}",num__Pace_Qual,0.792,60.025
Ordinal Logistic Regression (mord),0.818590381,{},num__Pace_Qual,0.808,0.040326118,,Ordinal Logistic Regression (mord),0.819,{},num__Pace_Qual,0.808,0.04
Naive Bayes,0.790306799,{},NA,0.8,0.014327288,,Naive Bayes,0.79,{},NA,0.8,0.014
kNN,0.783706468,"OrderedDict({'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'})",NA,0.712,7.181114674,,kNN,0.784,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'}",NA,0.712,7.181
