Driver_Race,Consistency_Race,Style_Race,Technical_Race,Pace_Race,PerformanceIndex_Race,Consistency_Qual,Style_Qual,Technical_Qual,Pace_Qual,PerformanceIndex_Qual,GrandPrix,Round,Year,QualifyingPosition,RaceFinishPosition
HAM,0.37634225810816824,0.26388004648558216,0.567423047451553,0.9444444444444444,0.538022449122437,0.1390411453137277,0.3482966189365029,0.5714332238097963,0.8333333333333334,0.47302608034834004,Bahrain Grand Prix,1,2022,5,3.0
LEC,0.28250585584939325,0.5,0.13811472206783515,1.0,0.48015514447930707,1.0,0.5000000000000001,0.30428160681758687,1.0,0.7010704017043967,Bahrain Grand Prix,1,2022,1,1.0
NOR,1.0,0.26901511911118425,0.7423194148336854,0.6111111111111112,0.6556114112639951,1.1102230246251565e-16,0.14775443312022096,0.4241851589339196,0.5,0.2679848980135352,Bahrain Grand Prix,1,2022,13,15.0
VER,0.0,0.5716947162443424,0.29562519972526635,0.5,0.3418299789924022,0.09529820814567946,0.665698921447993,0.25,0.9583333333333334,0.49233261573175147,Bahrain Grand Prix,1,2022,2,19.0
HAM,0.38286541740416125,0.63689946834665,0.5395185927771533,0.5,0.5148208696319911,0.6645621074977981,0.0,0.3477544198044309,0.5,0.37807913182555725,Saudi Arabian Grand Prix,2,2022,16,
LEC,0.5,0.7355620535952434,0.25262107583248916,0.9444444444444444,0.6081568934680442,0.8800572749612134,0.8637002824348674,0.25,1.0,0.7484393893490202,Saudi Arabian Grand Prix,2,2022,2,
NOR,0.5512653985057732,0.31199522067868246,0.48943013077201214,0.6666666666666667,0.5048393541557836,0.0,0.6399442327959655,0.5949847048803818,0.6785714285714286,0.47837509156194397,Saudi Arabian Grand Prix,2,2022,11,
VER,0.5283735844335293,0.5000000000000002,0.9060068250080533,1.0,0.7335951023603957,0.7336276758564059,0.3407023381001719,0.4655854650964141,0.9285714285714286,0.6171217269061051,Saudi Arabian Grand Prix,2,2022,4,
HAM,0.7779285031570189,0.3056939905699605,0.7638645380348995,0.9117647058823529,0.689812934411058,1.0,0.24805796872971997,0.7500000000000002,0.5,0.62451449218243,Australian Grand Prix,3,2022,5,4.0
LEC,0.7681570095658641,0.5,0.4340790583695834,1.0,0.6755590169838619,0.0,0.5660677802610354,0.2554951381706225,1.0,0.4553907296079145,Australian Grand Prix,3,2022,1,1.0
NOR,0.9727270036335947,0.21412392476625586,0.458715116075902,0.8823529411764706,0.6319797464130558,0.3732308064398745,0.21926640111418205,0.11668426917547192,0.625,0.3335453691823821,Australian Grand Prix,3,2022,4,5.0
VER,2.220446049250313e-16,0.544907185024555,0.5840485964793198,0.5,0.4072389453759688,0.362711295302499,0.6355297849663348,0.22381825096482943,0.875,0.5242648328084158,Australian Grand Prix,3,2022,2,18.0
HAM,0.7692637813461913,0.22127822838700412,0.6103295192158606,0.5,0.525217882237264,1.0,0.7682723847134371,0.24697268353370694,0.5,0.628811267061786,Emilia Romagna Grand Prix,4,2022,13,13.0
LEC,-4.440892098500626e-16,0.6375568242060674,0.23007992604521732,0.7916666666666666,0.4148258542294877,0.35984534135446267,0.6246950544374785,0.3088079287968637,0.9583333333333334,0.5629204144805345,Emilia Romagna Grand Prix,4,2022,2,6.0
NOR,1.0,0.0679961510913647,0.2983336678561148,0.9166666666666666,0.5707491214035365,0.0,0.09876705515274509,0.7499999999999998,0.9166666666666666,0.4413584304548529,Emilia Romagna Grand Prix,4,2022,3,3.0
VER,0.525734686781175,0.49999999999999994,0.8642639943310355,1.0,0.7224996702780526,0.6131436923877774,0.016198348183899203,0.24091047159440637,1.0,0.4675631280415208,Emilia Romagna Grand Prix,4,2022,1,1.0
HAM,0.11791947120318347,0.5,0.34418727251098136,0.8611111111111112,0.455804463706319,0.5418653516320304,0.5,0.6494522021446267,0.6428571428571429,0.58354367415845,Miami Grand Prix,5,2022,6,6.0
LEC,0.021007571174634587,0.17509170243322392,0.73664832062223,0.9722222222222222,0.47624245411307764,1.0,0.5,0.25,1.0,0.6875,Miami Grand Prix,5,2022,1,2.0
NOR,1.0,0.7962216142884111,0.35634678053935553,0.5,0.6631420987069416,0.04488845254357532,0.5759284484940652,0.6423297427441602,0.5,0.44078666094545016,Miami Grand Prix,5,2022,8,19.0
VER,0.21605072243185375,0.5,0.7126744143863493,1.0,0.6071812842045508,0.27141612818458793,0.4923132667517245,0.3907213867176309,0.8571428571428572,0.5028984096992002,Miami Grand Prix,5,2022,3,1.0
HAM,0.0,0.27183177071558584,0.5963674535818126,0.8947368421052632,0.4407340166006654,0.9993275845022155,0.5920052777194627,0.5512963595348546,0.75,0.7231573054391331,Spanish Grand Prix,6,2022,6,5.0
LEC,0.1344974477287324,0.4689258208491175,0.75,0.5,0.4633558171444625,0.0,0.0,0.20946045608718444,1.0,0.3023651140217961,Spanish Grand Prix,6,2022,1,20.0
NOR,0.910875522046735,0.5000000000000004,0.4659666468637951,0.8157894736842105,0.6731579106486852,0.994207531358078,0.8222250032707419,0.43913341359791414,0.5,0.6888914870566836,Spanish Grand Prix,6,2022,11,8.0
VER,0.9180033257635878,0.6254076753802864,0.29632087641740723,1.0,0.7099329693903204,0.19232180967817558,0.8594391107017003,0.6420928691996883,0.95,0.6609634473948911,Spanish Grand Prix,6,2022,2,1.0
HAM,0.8827135065408473,0.5110065724588682,0.7292329293835444,0.5,0.655738252095815,0.8321466098377015,0.052839428455767834,0.48214747001860236,0.5,0.4667833770780179,Monaco Grand Prix,7,2022,8,8.0
LEC,0.5135689775130192,0.33348878436778406,0.8168117533613524,0.9,0.6409673788105389,0.6142532457776926,0.6064249738815015,0.6836628352105898,1.0,0.726085263717446,Monaco Grand Prix,7,2022,1,4.0
NOR,0.1870604203502637,0.3274837154333119,0.13216093709566223,0.7,0.33667626821980945,0.0,0.5,0.38088234362596163,0.7142857142857143,0.398792014477919,Monaco Grand Prix,7,2022,5,6.0
VER,0.4233931257689516,0.5000000000000001,0.5285818566593112,1.0,0.6129937456070658,1.0,0.39468182389804163,0.1556224354873872,0.7857142857142857,0.5840046362749286,Monaco Grand Prix,7,2022,4,3.0
HAM,0.786915981551749,0.420619233399663,0.4786277582231042,0.9166666666666666,0.6507074099602957,1.0,0.8706860384775172,0.285261596052643,0.7,0.7139869086325401,Azerbaijan Grand Prix,8,2022,7,4.0
LEC,0.0,0.5,0.830564320614271,0.5,0.45764108015356775,0.18353694672713705,0.32161480748741944,0.5590853811193943,1.0,0.5160592838334876,Azerbaijan Grand Prix,8,2022,1,19.0
NOR,0.7178313688480557,0.4345161175567316,0.32841161822346127,0.7777777777777778,0.5646342206015066,0.2378372183284594,1.0,0.5063839731795774,0.5,0.5610552978770091,Azerbaijan Grand Prix,8,2022,11,9.0
VER,0.943270040838607,0.782568665197069,0.4427473319274737,1.0,0.7921465094907875,0.5073346216812232,0.3513850454964935,0.19486667985644757,0.9,0.48839658675854103,Azerbaijan Grand Prix,8,2022,3,1.0
HAM,0.2960886405924843,0.6086840123684976,0.25,0.9285714285714286,0.5208360203831026,0.0,0.44825736548005585,0.2466082278366537,0.8928571428571429,0.3969306840434631,Canadian Grand Prix,9,2022,4,3.0
LEC,0.8866900037630323,0.0,0.7610796166738725,0.8571428571428572,0.6262281193949405,0.674484444379601,0.4999999999999999,0.5,0.5,0.5436211110949002,Canadian Grand Prix,9,2022,15,5.0
NOR,0.9796535693510662,0.6794917137663212,0.7952615677038747,0.5,0.7386017127053155,1.0,0.5464128760136737,0.17608342417252776,0.5357142857142857,0.5645526464751218,Canadian Grand Prix,9,2022,14,15.0
VER,0.0,0.7192295417760679,0.286426353135794,1.0,0.5014139737279655,0.10658540971793595,0.2566202115615928,0.2816404940043691,1.0,0.41121152882097445,Canadian Grand Prix,9,2022,1,1.0
HAM,0.06266694741328149,0.016238735312311903,0.7844435865723028,0.9722222222222222,0.4588928728800296,0.24194877968225437,0.3329190764786927,0.47609643967890425,0.625,0.4189910739599628,French Grand Prix,12,2022,4,2.0
LEC,1.0,0.6388219638429884,0.03577573169279413,0.5,0.5436494238839457,0.49066744466525913,0.37857897645147043,0.21803087827043166,1.0,0.5218193248467903,French Grand Prix,12,2022,1,19.0
NOR,0.07046239923362851,0.4237273833612438,0.9524979196221376,0.8333333333333334,0.5700052588875858,1.0,0.6912716529546492,0.5486870082462774,0.5,0.6849896653002316,French Grand Prix,12,2022,5,7.0
VER,0.2614615819698587,0.7211287938125208,0.31537384187879614,1.0,0.5744910544152939,0.9957543721011572,0.5000000000000002,0.022308740564315643,0.875,0.5982657781663683,French Grand Prix,12,2022,2,1.0
HAM,0.8667260599406097,0.0,0.5,0.9166666666666666,0.570848181651819,0.737836223342063,0.4016776672623259,0.5579288373024931,0.7142857142857143,0.6029321105481491,Hungarian Grand Prix,13,2022,7,2.0
LEC,0.0,0.39913236529332496,0.6409638934873663,0.5833333333333333,0.4058573980285061,0.8154825424639005,0.10667278089644361,0.3945859471595343,1.0,0.5791853176299696,Hungarian Grand Prix,13,2022,3,6.0
NOR,0.5146416412442605,1.0,0.31415490452562755,0.5,0.582199136442472,1.0,0.9999999999999998,0.22879893756375802,0.9285714285714286,0.7893425915337966,Hungarian Grand Prix,13,2022,4,7.0
VER,1.0,0.8122001811756119,0.5302272519147142,1.0,0.8356068582725815,0.0,0.15360270381464458,0.1605096358126552,0.5000000000000001,0.20352808490682497,Hungarian Grand Prix,13,2022,10,1.0
