Driver,Consistency,Style,Technical,Pace,PerformanceIndex,GrandPrix,Round,Year
LEC,0.28250585584939325,0.5,0.7050569138395923,1.0,0.6218906924222464,Bahrain Grand Prix,1,2022
NOR,1.0,0.2300332577368791,0.567423047451553,0.6111111111111112,0.6021418540748859,Bahrain Grand Prix,1,2022
VER,0.0,0.9878626683198639,0.08875544747381614,0.5,0.39415452894842,Bahrain Grand Prix,1,2022
VER,0.5274867418610683,0.7405100606531689,0.25338574396593705,1.0,0.6303456366200435,Saudi Arabian Grand Prix,2,2022
LEC,0.5,0.5000000000000002,0.5685578410137607,0.9166666666666666,0.6213061269201069,Saudi Arabian Grand Prix,2,2022
NOR,0.5,0.5,0.6221691255792867,0.5,0.5305422813948217,Saudi Arabian Grand Prix,2,2022
LEC,0.7681570095658641,0.5,0.458715116075902,1.0,0.6817180314104415,Australian Grand Prix,3,2022
NOR,0.9727270036335947,0.018110987935951783,0.8064199149622459,0.8823529411764706,0.6699027119270657,Australian Grand Prix,3,2022
VER,2.220446049250313e-16,0.9252657633377805,0.4999999999999999,0.5,0.48131644083444514,Australian Grand Prix,3,2022
NOR,1.0,0.8065727304395565,0.25207504924046464,0.7999999999999999,0.7146619449200052,Emilia Romagna Grand Prix,4,2022
VER,0.525734686781175,0.5,0.5,1.0,0.6314336716952937,Emilia Romagna Grand Prix,4,2022
LEC,-4.440892098500626e-16,0.10057771961527218,0.8392606178847888,0.4999999999999999,0.3599595843750151,Emilia Romagna Grand Prix,4,2022
LEC,1.0,0.5,0.9011344183264383,0.5,0.7252836045816096,Bahrain Grand Prix,1,2023
VER,0.8550882394081218,0.5000000000000002,0.17081850641415447,1.0,0.6314766864555692,Bahrain Grand Prix,1,2023
NOR,1.1102230246251565e-16,0.9083795562151937,0.25,0.5555555555555556,0.4284837779426874,Bahrain Grand Prix,1,2023
LEC,0.32456427816701106,0.5,0.8759306790860157,0.8333333333333333,0.63345707264659,Saudi Arabian Grand Prix,2,2023
NOR,0.5,0.5,0.5482413254764822,0.5,0.5120603313691205,Saudi Arabian Grand Prix,2,2023
VER,0.5,0.3283817346945508,0.03566882125820198,1.0,0.4660126389881882,Saudi Arabian Grand Prix,2,2023
LEC,0.18864000431560768,0.4999999999999999,0.960959745864832,0.9285714285714286,0.644542794687967,Azerbaijan Grand Prix,4,2023
VER,0.5451343250857965,0.5027133734319152,0.13784688767793077,1.0,0.5464236465489106,Azerbaijan Grand Prix,4,2023
NOR,0.4999999999999999,0.5,0.27465450432897853,0.5,0.44366362608224463,Azerbaijan Grand Prix,4,2023
LEC,0.7723055138556383,0.9794298661728675,0.5839642332604541,0.7,0.75892490332224,Bahrain Grand Prix,1,2024
NOR,0.7673632708370093,0.8394484540133693,0.25,0.4999999999999999,0.5892029312125946,Bahrain Grand Prix,1,2024
VER,0.0,0.0,0.6739818237582527,1.0,0.41849545593956317,Bahrain Grand Prix,1,2024
LEC,0.6138077883919035,0.49999999999999956,0.43138363845809824,0.8571428571428572,0.6005835709982146,Saudi Arabian Grand Prix,2,2024
VER,0.5,0.35839854625569156,0.4193294522997957,1.0,0.5694319996388718,Saudi Arabian Grand Prix,2,2024
NOR,0.5000000000000002,0.623408056058282,0.5369774919614148,0.5,0.5400963870049242,Saudi Arabian Grand Prix,2,2024
NOR,0.0,0.5,0.9571526806578547,0.9705882352941176,0.6069352289879931,Australian Grand Prix,3,2024
VER,1.0,0.28672984644422694,0.3945519105905323,0.5,0.5453204392586898,Australian Grand Prix,3,2024
LEC,0.027264040905295772,0.5959617166184398,0.2150019464150703,1.0,0.45955692598470144,Australian Grand Prix,3,2024
VER,1.0,0.6315490756105568,0.75,1.0,0.8453872689026392,Japanese Grand Prix,4,2024
NOR,0.9140985936618913,0.7484560322817053,0.3124358203344255,0.5,0.6187476115695055,Japanese Grand Prix,4,2024
LEC,0.0,0.0,0.5935763020105316,0.625,0.3046440755026329,Japanese Grand Prix,4,2024
