City,Price
Makati,"₱ 1,500,000,000"
Makati,"₱ 1,500,000,000"
Makati,"₱ 1,700,000,000"
Makati,"₱ 1,900,000,000"
Makati,"₱ 175,000,000"
Makati,"₱ 400,000,000"
Makati,"₱ 65,000,000"
Makati,"₱ 95,000,000"
Makati,"₱ 650,000,000"
Makati,"₱ 996,000,000"
Muntinlupa,"₱ 36,061,000"
Muntinlupa,"₱ 350,000,000"
Muntinlupa,"₱ 360,000,000"
Muntinlupa,"₱ 390,000,000"
Muntinlupa,"₱ 390,000,000"
Muntinlupa,"₱ 45,000,000"
Muntinlupa,"₱ 750,000,000"
Muntinlupa,"₱ 158,000,000"
Muntinlupa,"₱ 200,000,000"
Muntinlupa,"₱ 75,000,000"
Pasig,"₱ 256,598"
Pasig,"₱ 256,598"
Pasig,"₱ 256,598"
Pasig,"₱ 137,000,000"
Pasig,"₱ 180,000,000"
Pasig,"₱ 55,000,000"
Pasig,"₱ 26,000,000"
Pasig,"₱ 18,800,000"
Pasig,"₱ 15,000,000"
Pasig,"₱ 7,756,000"
Bacoor,"₱ 2,287,943"
Bacoor,"₱ 6,341,200"
Bacoor,"₱ 2,606,915"
Bacoor,"₱ 3,636,387"
Bacoor,"₱ 98,000,000"
Bacoor,"₱ 98,000,000"
Bacoor,"₱ 3,200,000"
Bacoor,₱ 1
Bacoor,"₱ 98,000,000"
Bacoor,Request Details
Trece Martires,"₱ 2,642,200"
Trece Martires,"₱ 2,642,200"
Trece Martires,"₱ 6,508,357"
Trece Martires,"₱ 2,917,331"
Trece Martires,"₱ 5,486,400"
Trece Martires,"₱ 5,486,400"
Trece Martires,"₱ 88,000,000"
Trece Martires,"₱ 2,208,800"
Trece Martires,"₱ 5,073,980"
Trece Martires,"₱ 5,796,220"
Calamba,"₱ 5,430,000"
Calamba,"₱ 7,559,056"
Calamba,"₱ 7,070,000"
Calamba,"₱ 5,650,000"
Calamba,"₱ 10,510,000"
Calamba,"₱ 4,900,000"
Calamba,"₱ 9,210,000"
Calamba,"₱ 4,990,000"
Calamba,"₱ 15,713,700"
Calamba,"₱ 5,841,700"
Batangas City,"₱ 12,152,500"
Batangas City,"₱ 11,174,000"
Batangas City,"₱ 10,600,000"
Batangas City,"₱ 9,900,000"
Batangas City,"₱ 25,000,000"
Batangas City,"₱ 4,809,000"
Batangas City,"₱ 25,000,000"
Batangas City,"₱ 25,000,000"
Batangas City,"₱ 4,571,000"
Batangas City,"₱ 5,097,000"
Cainta,"₱ 12,845,500"
Cainta,"₱ 10,624,200"
Cainta,"₱ 17,000,000"
Cainta,"₱ 50,000,000"
Cainta,"₱ 26,000,000"
Cainta,"₱ 15,000,000"
Cainta,"₱ 27,000,000"
Cainta,"₱ 30,000,000"
Cainta,"₱ 32,500,000"
Cainta,"₱ 6,800,000"
Rodriguez,"₱ 2,370,000"
Rodriguez,"₱ 6,549,000"
Rodriguez,"₱ 20,000,000"
Rodriguez,"₱ 6,549,000"
Rodriguez,"₱ 4,150,000"
Rodriguez,"₱ 4,150,000"
Rodriguez,"₱ 4,150,000"
Rodriguez,"₱ 4,150,000"
Rodriguez,"₱ 4,150,000"
Rodriguez,"₱ 4,150,000"
San Fernando,"₱ 9,842,000"
San Fernando,"₱ 60,000,000"
San Fernando,"₱ 20,000,000"
San Fernando,"₱ 22,000,000"
San Fernando,"₱ 1,656,000"
San Fernando,"₱ 2,073,000"
San Fernando,"₱ 1,922,000"
San Fernando,"₱ 6,600,000"
San Fernando,"₱ 5,500,000"
San Fernando,"₱ 3,595,200"
